,Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DE,DP,GC,CV,CA,PP,GS,FC,I,PS,PC,PI,Year,Round
0,Elton (ATA),,1421,1,1560,1560,1021,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,4.0,2020,1
1,Saravia (LAT),,1319,1,1220,1220,719,8.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,,,3.0,,,,8.0,2020,1
2,Marinho (ATA),,1210,1,1170,1170,710,1.0,1.0,,,6.0,,1.0,,,,,,,,,2.0,,,,5.0,2020,1
3,Igor Rabello (ZAG),,1341,1,1050,1050,541,5.0,,,1.0,2.0,,,,,,,,,,,,,,,5.0,2020,1
4,Léo Cittadini (MEI),,1290,1,980,980,490,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,2020,1
5,Diego Souza (ATA),,1276,1,960,960,476,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,12.0,2020,1
6,Jonatan Gomez (MEI),,1196,1,950,950,496,,1.0,,,3.0,1.0,,,,,,,,,,1.0,,,,3.0,2020,1
7,Cléber (ATA),,797,1,900,900,597,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,3.0,2020,1
8,Alison (MEI),,1073,1,880,880,473,3.0,,1.0,,3.0,,,,,,,,,,,,,,,7.0,2020,1
9,Pedro Geromel (ZAG),,1109,1,830,830,409,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,,,10.0,2020,1
10,Vanderlei (GOL),,957,1,820,820,457,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,1
11,Moisés (LAT),,949,1,810,810,449,4.0,,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,,,14.0,2020,1
12,Guilherme Arana (LAT),,1797,1,780,780,97,4.0,,,1.0,,,1.0,,,,,,,,,2.0,,,,14.0,2020,1
13,Aderlan (LAT),,899,1,740,740,399,9.0,,,,,,,,,,,,,,,2.0,,,,6.0,2020,1
14,Abner Vinícius (LAT),,739,1,720,720,439,3.0,,,1.0,,,,,,,,,,,,,,,,8.0,2020,1
15,Rafael (GOL),,1174,1,720,720,274,,,,1.0,,,,,,,,,,,,,,,,18.0,2020,1
16,Thiago Galhardo (MEI),,1007,1,690,690,307,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,1.0,2020,1
17,Fernando Sobral (MEI),,710,1,680,680,410,3.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,3.0,,,,10.0,2020,1
18,Paolo Guerrero (ATA),,1413,1,650,650,113,,1.0,,,,,,,,,,,,,,2.0,,,,5.0,2020,1
19,Bruno Cortez (LAT),,906,1,650,650,306,5.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,10.0,2020,1
20,Dorival Júnior (TEC),,965,1,631,631,265,,,,,,,,,,,,,,,,,,,,,2020,1
21,Matheus Galdezani (MEI),,790,1,590,590,290,3.0,,,,1.0,,,1.0,,,,,,,,,,,,6.0,2020,1
22,Artur (ATA),,1363,1,580,580,63,3.0,,,,3.0,1.0,2.0,,,,,,,,,2.0,,,,9.0,2020,1
23,Diego Alves (GOL),,1421,1,560,560,21,,,,,1.0,,,,,,,,,,1.0,,,,,9.0,2020,1
24,Patric (LAT),,746,1,530,530,246,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,10.0,2020,1
25,Willian Arão (MEI),,1102,1,520,520,102,5.0,,,,3.0,,,,,,,,,,,2.0,,,,3.0,2020,1
26,Khellven (LAT),,580,1,500,500,280,,,,1.0,1.0,,,,,,,,,,,,,,,5.0,2020,1
27,Renato Gaúcho (TEC),,1229,1,495,495,29,,,,,,,,,,,,,,,,,,,,,2020,1
28,Kannemann (ZAG),,1145,1,480,480,45,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,,,2.0,2020,1
29,Everton Ribeiro (MEI),,689,1,450,450,189,3.0,,,,2.0,,1.0,,,,,,,,,,,,,7.0,2020,1
30,Daniel Paulista (TEC),,465,1,442,442,265,,,,,,,,,,,,,,,,,,,,,2020,1
31,Víctor Cuesta (ZAG),,1044,1,440,440,44,3.0,,,1.0,1.0,,,,,,,,1.0,,,3.0,,,,6.0,2020,1
32,Arrascaeta (MEI),,2124,1,430,430,-376,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,10.0,2020,1
33,Sander (LAT),,819,1,430,430,119,4.0,,,,3.0,,,,,,,,,,,1.0,,,,7.0,2020,1
34,Gerson (MEI),,1109,1,430,430,9,3.0,,,,3.0,1.0,,,,,,,,,,1.0,,,,5.0,2020,1
35,Dodi (MEI),,674,1,430,430,174,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,5.0,2020,1
36,Eduardo Coudet (TEC),,1032,1,425,425,32,,,,,,,,,,,,,,,,,,,,,2020,1
37,Pará (LAT),,812,1,420,420,112,3.0,,,,,1.0,1.0,,,,,,,,,,,,,8.0,2020,1
38,Marcelo Lomba (GOL),,1522,1,400,400,-178,,,,1.0,,,,,,,,,,,,,,,,10.0,2020,1
39,Patrick Vieira (LAT),,500,1,390,390,200,3.0,,,,2.0,1.0,1.0,,,,,,,,,2.0,,,,11.0,2020,1
40,Evanilson (ATA),,710,1,380,380,110,1.0,,,,5.0,,1.0,,,,,,,,,1.0,,,,4.0,2020,1
41,Nenê (MEI),,906,1,350,350,6,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,17.0,2020,1
42,Nikão (MEI),,1486,1,350,350,-214,,,,,3.0,2.0,1.0,,,,,,,,,1.0,,,,3.0,2020,1
43,Lucas Veríssimo (ZAG),,1116,1,340,340,-84,4.0,,,,,,,,,,,,,,,,,,,6.0,2020,1
44,Felipe Jonatan (LAT),,754,1,340,340,54,4.0,,,,3.0,,,,,,,,,,,2.0,,,,11.0,2020,1
45,Mateus Gonçalves (ATA),,536,1,340,340,136,2.0,,,,1.0,,1.0,,,,,,,,,,,,,3.0,2020,1
46,Rafael Sobis (ATA),,826,1,340,340,26,1.0,,,,,2.0,2.0,,,,,,,,,2.0,,,,6.0,2020,1
47,Betinho (MEI),,457,1,330,330,157,5.0,,,,,,,,,,,,,,,2.0,,,,7.0,2020,1
48,Nathan (MEI),,739,1,320,320,39,5.0,,,,,,,,,,,,,,,2.0,1.0,,,3.0,2020,1
49,Romarinho (ATA),,522,1,320,320,122,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,3.0,2020,1
50,12345,12345.0,12345,12345,12345,12345,12345,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,12345.0,2020,1
0,Fellipe Bastos (MEI),,1152,1,1930,1930,752,2.0,2.0,,,,,1.0,1.0,,,,,,,,5.0,,,,4.0,2020,2
1,Daniel Alves (MEI),,1615,1,1640,1640,415,6.0,1.0,,,5.0,4.0,,,,,,,,,,3.0,1.0,,,13.0,2020,2
2,Jean (GOL),,936,1,1610,1610,636,,,,1.0,,,,,,,,,,,,,,,,9.0,2020,2
3,Gustavo Ferrareis (MEI),,997,1,1580,1580,597,2.0,1.0,1.0,,4.0,1.0,,,,,,,,,,1.0,1.0,,,10.0,2020,2
4,Saravia (LAT),,2104,2,1475,1730,785,16.0,,1.0,2.0,4.0,1.0,1.0,,,,,,1.0,,,4.0,,,,15.0,2020,2
5,Vitinho (ATA),,1899,2,1470,1820,870,4.0,2.0,1.0,,3.0,1.0,2.0,1.0,,,,,,,,4.0,,,,13.0,2020,2
6,Jô (ATA),,1430,1,1390,1390,330,,1.0,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,8.0,2020,2
7,Paolo Guerrero (ATA),,2067,2,1260,1870,654,2.0,2.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,6.0,2.0,,,11.0,2020,2
8,Jorginho (MEI),,985,1,1220,1220,385,4.0,1.0,,,2.0,,,,,,,,,,,1.0,,,,3.0,2020,2
9,Tiago Volpi (GOL),,1576,1,1220,1220,176,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,2
10,Douglas Friedrich (GOL),,1207,1,1220,1220,307,,,,1.0,,,,,,,,,,,,,,,,8.0,2020,2
11,Hyuri (ATA),,858,1,1100,1100,358,2.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,2.0,2020,2
12,Reinaldo (LAT),,1375,1,1100,1100,175,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,10.0,2020,2
13,Rodriguinho (MEI),,1740,1,1090,1090,40,,1.0,,,4.0,1.0,1.0,,,,,,,,,1.0,,,,6.0,2020,2
14,Henrique (LAT),,818,1,1010,1010,318,6.0,,,1.0,1.0,,,,,,,,,,,2.0,,,,4.0,2020,2
15,Diego Souza (ATA),,1276,1,960,0,0,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,,,12.0,2020,2
16,Nicolas (LAT),,713,1,940,940,313,3.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,16.0,2020,2
17,Guga (LAT),,1422,2,935,1310,509,8.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,2.0,,,,18.0,2020,2
