colocação,jogador,escalações,rodada,ano
1.0,Gabriel (FLA),3327349.0,1,2020
2.0,Pedro Geromel (GRE),3127228.0,1,2020
3.0,Everton Ribeiro (FLA),2840557.0,1,2020
4.0,Vanderlei (GRE),1969166.0,1,2020
5.0,Marinho (SAN),1850604.0,1,2020
6.0,Thiago Galhardo (INT),1422202.0,1,2020
7.0,Soteldo (SAN),1308558.0,1,2020
8.0,Víctor Cuesta (INT),1304007.0,1,2020
9.0,Diego Souza (GRE),1273009.0,1,2020
10.0,Alisson (GRE),1247015.0,1,2020
11.0,Gerson (FLA),1161325.0,1,2020
12.0,Filipe Luís (FLA),957446.0,1,2020
13.0,Daniel Paulista (SPO),878319.0,1,2020
14.0,Léo Pereira (FLA),818484.0,1,2020
15.0,Rafinha (FLA),757727.0,1,2020
16.0,Bruno Henrique (FLA),707134.0,1,2020
17.0,Bruno Cortez (GRE),617198.0,1,2020
18.0,Paolo Guerrero (INT),616544.0,1,2020
19.0,Daniel Alves (SAO),597080.0,1,2020
20.0,Domènec Torrent (FLA),588360.0,1,2020
1.0,Gabriel (FLA),3269338.0,2,2020
2.0,Everton Ribeiro (FLA),2696485.0,2,2020
3.0,Rodrigo Caio (FLA),1704973.0,2,2020
4.0,Bruno Henrique (FLA),1344399.0,2,2020
5.0,Filipe Luís (FLA),1237605.0,2,2020
6.0,Domènec Torrent (FLA),1087414.0,2,2020
7.0,Thiago Galhardo (INT),1081448.0,2,2020
8.0,Aguilar (CAP),994423.0,2,2020
9.0,Víctor Cuesta (INT),986976.0,2,2020
10.0,Felipe Conceição (BGT),974846.0,2,2020
11.0,Pablo (SAO),946191.0,2,2020
12.0,Rafinha (FLA),937338.0,2,2020
13.0,Patrick de Paula (PAL),816626.0,2,2020
14.0,Gerson (FLA),808470.0,2,2020
15.0,Léo Cittadini (CAP),768257.0,2,2020
16.0,Cano (VAS),731130.0,2,2020
17.0,Santos (CAP),710984.0,2,2020
18.0,Daniel Alves (SAO),669146.0,2,2020
19.0,Aderlan (BGT),648883.0,2,2020
20.0,Saravia (INT),641373.0,2,2020
1.0,Gabriel (FLA),2320289.0,3,2020
2.0,Luiz Adriano (PAL),1889354.0,3,2020
3.0,Marcos Rocha (PAL),1868825.0,3,2020
4.0,Pedro Geromel (GRE),1740932.0,3,2020
5.0,Everton Ribeiro (FLA),1436246.0,3,2020
6.0,Carlos Sánchez (SAN),1397568.0,3,2020
7.0,Réver (ATL),1376046.0,3,2020
8.0,Viña (PAL),1308749.0,3,2020
9.0,Marrony (ATL),1222261.0,3,2020
10.0,Zé Rafael (PAL),1213619.0,3,2020
11.0,Filipe Luís (FLA),1135879.0,3,2020
12.0,Rogério Ceni (FOR),1007995.0,3,2020
13.0,Rafael (ATL),987993.0,3,2020
14.0,Bruno Henrique (FLA),970710.0,3,2020
15.0,Rodrigo Caio (FLA),920932.0,3,2020
16.0,Patrick de Paula (PAL),874299.0,3,2020
17.0,Marinho (SAN),861718.0,3,2020
18.0,Thiago Galhardo (INT),815006.0,3,2020
19.0,Vanderlei Luxemburgo (PAL),726338.0,3,2020
20.0,Domènec Torrent (FLA),623991.0,3,2020
1.0,Jô (COR),2927180.0,4,2020
2.0,Víctor Cuesta (INT),2328033.0,4,2020
3.0,Thiago Galhardo (INT),2306599.0,4,2020
4.0,Gil (COR),2044359.0,4,2020
5.0,Gabriel (FLA),1894907.0,4,2020
6.0,Luan (COR),1300668.0,4,2020
7.0,Sidcley (COR),1208456.0,4,2020
8.0,Daniel Alves (SAO),1117301.0,4,2020
9.0,Filipe Luís (FLA),1101924.0,4,2020
10.0,Everton Ribeiro (FLA),1091642.0,4,2020
11.0,Bruno Henrique (FLA),956214.0,4,2020
12.0,Marrony (ATL),950363.0,4,2020
13.0,Carlos Sánchez (SAN),897488.0,4,2020
14.0,Danilo Avelar (COR),864500.0,4,2020
15.0,Cássio (COR),826522.0,4,2020
16.0,Ney Franco (GOI),822382.0,4,2020
17.0,Hyoran (ATL),780442.0,4,2020
18.0,Soteldo (SAN),776241.0,4,2020
19.0,Marinho (SAN),695929.0,4,2020
20.0,Pablo (SAO),690908.0,4,2020
1.0,Jô (COR),2283512.0,5,2020
2.0,Gabriel (FLA),1998763.0,5,2020
3.0,Arrascaeta (FLA),1561756.0,5,2020
4.0,Gil (COR),1415389.0,5,2020
5.0,Bruno Henrique (FLA),1382062.0,5,2020
6.0,Filipe Luís (FLA),1339727.0,5,2020
7.0,Everton Ribeiro (FLA),1275299.0,5,2020
8.0,Araos (COR),1202306.0,5,2020
9.0,Léo Ortiz (BGT),1196431.0,5,2020
10.0,Thiago Galhardo (INT),1138799.0,5,2020
11.0,Felipe Conceição (BGT),1048088.0,5,2020
12.0,Cássio (COR),1020138.0,5,2020
13.0,Danilo Avelar (COR),998210.0,5,2020
14.0,Rodrigo Caio (FLA),913661.0,5,2020
15.0,Aderlan (BGT),913419.0,5,2020
16.0,Cano (VAS),904699.0,5,2020
17.0,Sidcley (COR),889891.0,5,2020
18.0,Fagner (COR),844314.0,5,2020
19.0,Alerrandro (BGT),767288.0,5,2020
20.0,Rafael Vaz (GOI),677966.0,5,2020
1.0,Thiago Galhardo (INT),2395099.0,6,2020
2.0,Cano (VAS),2105929.0,6,2020
3.0,Víctor Cuesta (INT),1979460.0,6,2020
4.0,Nenê (FLU),1599672.0,6,2020
5.0,Bruno Henrique (FLA),1403963.0,6,2020
