Nome,Clube,Preço,J,Média,Últ. Pont.,Variação,DS,G,A,SG,FS,FF,FD,FT,DD,DP,GC,CV,CA,PP,GS,FC,I,PI,rodada,ano,RB,PE
Elton (ATA),Sport,14.21,1.0,15.6,15.6,10.21,,2.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,4.0,1,2020,,
Saravia (LAT),Internacional,13.19,1.0,12.2,12.2,7.19,8.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,,,3.0,,8.0,1,2020,,
Marinho (ATA),Santos,12.1,1.0,11.7,11.7,7.1,1.0,1.0,,,6.0,,1.0,,,,,,,,,2.0,,5.0,1,2020,,
Igor Rabello (ZAG),Atlético-MG,13.41,1.0,10.5,10.5,5.41,5.0,,,1.0,2.0,,,,,,,,,,,,,5.0,1,2020,,
Léo Cittadini (MEI),Athlético-PR,12.9,1.0,9.8,9.8,4.9,,1.0,,,2.0,1.0,,,,,,,,,,,,,1,2020,,
Diego Souza (ATA),Grêmio,12.76,1.0,9.6,9.6,4.76,,1.0,,,2.0,2.0,1.0,,,,,,,,,2.0,,12.0,1,2020,,
Jonatan Gomez (MEI),Sport,11.96,1.0,9.5,9.5,4.96,,1.0,,,3.0,1.0,,,,,,,,,,1.0,,3.0,1,2020,,
Cléber (ATA),Ceará,7.97,1.0,9.0,9.0,5.97,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,3.0,1,2020,,
Alison (MEI),Santos,10.73,1.0,8.8,8.8,4.73,3.0,,1.0,,3.0,,,,,,,,,,,,,7.0,1,2020,,
Pedro Geromel (ZAG),Grêmio,11.09,1.0,8.3,8.3,4.09,5.0,,,1.0,,1.0,,,,,,,,,,3.0,,10.0,1,2020,,
Vanderlei (GOL),Grêmio,9.57,1.0,8.2,8.2,4.57,,,,1.0,,,,,1.0,,,,,,,,,8.0,1,2020,,
Moisés (LAT),Internacional,9.49,1.0,8.1,8.1,4.49,4.0,,,1.0,,1.0,1.0,,,,,,,,,2.0,1.0,14.0,1,2020,,
Guilherme Arana (LAT),Atlético-MG,17.97,1.0,7.8,7.8,0.97,4.0,,,1.0,,,1.0,,,,,,,,,2.0,,14.0,1,2020,,
Aderlan (LAT),Bragantino,8.99,1.0,7.4,7.4,3.99,9.0,,,,,,,,,,,,,,,2.0,,6.0,1,2020,,
Abner Vinícius (LAT),Athlético-PR,7.39,1.0,7.2,7.2,4.39,3.0,,,1.0,,,,,,,,,,,,,,8.0,1,2020,,
Rafael (GOL),Atlético-MG,11.74,1.0,7.2,7.2,2.74,,,,1.0,,,,,1.0,,,,,,,,,18.0,1,2020,,
Thiago Galhardo (MEI),Internacional,10.07,1.0,6.9,6.9,3.07,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,1,2020,,
Fernando Sobral (MEI),Ceará,7.1,1.0,6.8,6.8,4.1,3.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,3.0,,10.0,1,2020,,
Paolo Guerrero (ATA),Internacional,14.13,1.0,6.5,6.5,1.13,,1.0,,,,,,,,,,,,,,2.0,,5.0,1,2020,,
Bruno Cortez (LAT),Grêmio,9.06,1.0,6.5,6.5,3.06,5.0,,,1.0,,,,,,,,,1.0,,,1.0,,10.0,1,2020,,
Dorival Júnior (TEC),Athlético-PR,9.65,1.0,6.31,6.31,2.65,,,,,,,,,,,,,,,,,,,1,2020,,
Matheus Galdezani (MEI),Coritiba,7.9,1.0,5.9,5.9,2.9,3.0,,,,1.0,,,1.0,,,,,,,,,,6.0,1,2020,,
Artur (ATA),Bragantino,13.63,1.0,5.8,5.8,0.63,3.0,,,,3.0,1.0,2.0,,,,,,,,,2.0,,9.0,1,2020,,
Diego Alves (GOL),Flamengo,14.21,1.0,5.6,5.6,0.21,,,,,1.0,,,,2.0,,,,,,1.0,,,9.0,1,2020,,
Patric (LAT),Sport,7.46,1.0,5.3,5.3,2.46,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,10.0,1,2020,,
Willian Arão (MEI),Flamengo,11.02,1.0,5.2,5.2,1.02,5.0,,,,3.0,,,,,,,,,,,2.0,,3.0,1,2020,,
Khellven (LAT),Athlético-PR,5.8,1.0,5.0,5.0,2.8,,,,1.0,1.0,,,,,,,,,,,,,5.0,1,2020,,
Renato Gaúcho (TEC),Grêmio,12.29,1.0,4.95,4.95,0.29,,,,,,,,,,,,,,,,,,,1,2020,,
Kannemann (ZAG),Grêmio,11.45,1.0,4.8,4.8,0.45,1.0,,,1.0,2.0,,,,,,,,,,,4.0,,2.0,1,2020,,
Everton Ribeiro (MEI),Flamengo,6.89,1.0,4.5,4.5,1.89,3.0,,,,2.0,,1.0,,,,,,,,,,,7.0,1,2020,,
Daniel Paulista (TEC),Sport,4.65,1.0,4.42,4.42,2.65,,,,,,,,,,,,,,,,,,,1,2020,,
Víctor Cuesta (ZAG),Internacional,10.44,1.0,4.4,4.4,0.44,3.0,,,1.0,1.0,,,,,,,,1.0,,,3.0,,6.0,1,2020,,
Arrascaeta (MEI),Flamengo,21.24,1.0,4.3,4.3,-3.76,2.0,,,,1.0,2.0,1.0,,,,,,,,,,,10.0,1,2020,,
Sander (LAT),Sport,8.19,1.0,4.3,4.3,1.19,4.0,,,,3.0,,,,,,,,,,,1.0,,7.0,1,2020,,
Gerson (MEI),Flamengo,11.09,1.0,4.3,4.3,0.09,3.0,,,,3.0,1.0,,,,,,,,,,1.0,,5.0,1,2020,,
Dodi (MEI),Fluminense,6.74,1.0,4.3,4.3,1.74,4.0,,,,1.0,1.0,,,,,,,,,,1.0,,5.0,1,2020,,
Eduardo Coudet (TEC),Internacional,10.32,1.0,4.25,4.25,0.32,,,,,,,,,,,,,,,,,,,1,2020,,
Pará (LAT),Santos,8.12,1.0,4.2,4.2,1.12,3.0,,,,,1.0,1.0,,,,,,,,,,,8.0,1,2020,,
Marcelo Lomba (GOL),Internacional,15.22,1.0,4.0,4.0,-1.78,,,,1.0,,,,,,,,,,,,,,10.0,1,2020,,
Patrick Vieira (LAT),Coritiba,5.0,1.0,3.9,3.9,2.0,3.0,,,,2.0,1.0,1.0,,,,,,,,,2.0,,11.0,1,2020,,
Evanilson (ATA),Fluminense,7.1,1.0,3.8,3.8,1.1,1.0,,,,5.0,,1.0,,,,,,,,,1.0,,4.0,1,2020,,
Nenê (MEI),Fluminense,9.06,1.0,3.5,3.5,0.06,1.0,,,,2.0,1.0,2.0,,,,,,,,,,,17.0,1,2020,,
Nikão (MEI),Athlético-PR,14.86,1.0,3.5,3.5,-2.14,,,,,3.0,2.0,1.0,,,,,,,,,1.0,,3.0,1,2020,,
Lucas Veríssimo (ZAG),Santos,11.16,1.0,3.4,3.4,-0.84,4.0,,,,,,,,,,,,,,,,,6.0,1,2020,,
Felipe Jonatan (LAT),Santos,7.54,1.0,3.4,3.4,0.54,4.0,,,,3.0,,,,,,,,,,,2.0,,11.0,1,2020,,
Mateus Gonçalves (ATA),Ceará,5.36,1.0,3.4,3.4,1.36,2.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1,2020,,
Rafael Sobis (ATA),Ceará,8.26,1.0,3.4,3.4,0.26,1.0,,,,,2.0,2.0,,,,,,,,,2.0,,6.0,1,2020,,
Betinho (MEI),Sport,4.57,1.0,3.3,3.3,1.57,5.0,,,,,,,,,,,,,,,2.0,,7.0,1,2020,,
Nathan (MEI),Atlético-MG,7.39,1.0,3.2,3.2,0.39,5.0,,,,,,,,,,,,,,,2.0,1.0,3.0,1,2020,,
Romarinho (ATA),Fortaleza,5.22,1.0,3.2,3.2,1.22,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,3.0,1,2020,,
Ricardo Ryller (MEI),Bragantino,3.7,1.0,3.1,3.1,1.7,4.0,,,,2.0,2.0,,,,,,,1.0,,,2.0,,5.0,1,2020,,
Allan (MEI),Atlético-MG,8.04,1.0,3.1,3.1,0.04,5.0,,,,1.0,2.0,,,,,,,1.0,,,3.0,,5.0,1,2020,,
Cuca (TEC),Santos,8.73,1.0,3.05,3.05,-0.27,,,,,,,,,,,,,,,,,,,1,2020,,
Gabriel (ATA),Flamengo,9.42,1.0,3.0,3.0,-0.58,,,,,1.0,4.0,,,,,,,,,,,,7.0,1,2020,,
Bruno Pacheco (LAT),Ceará,7.25,1.0,3.0,3.0,0.25,4.0,,,,2.0,,,,,,,,,,,2.0,,10.0,1,2020,,
Pepê (ATA),Grêmio,7.97,1.0,3.0,3.0,-0.03,,,,,3.0,1.0,1.0,,,,,,,,,,,5.0,1,2020,,
Gabriel (ZAG),Atlético-MG,7.83,1.0,2.8,2.8,-0.17,1.0,,,1.0,,,,,,,,,1.0,,,2.0,,2.0,1,2020,,
Guto Ferreira (TEC),Ceará,5.59,1.0,2.71,2.71,0.59,,,,,,,,,,,,,,,,,,,1,2020,,
Nathan Silva (MEI),Coritiba,4.13,1.0,2.7,2.7,1.13,4.0,,,,2.0,,,,,,,,,,,4.0,,3.0,1,2020,,
Rafinha (LAT),Flamengo,7.68,1.0,2.6,2.6,-0.32,3.0,,,,5.0,,,,,,,,1.0,,,,,9.0,1,2020,,
Domènec Torrent (TEC),Flamengo,7.63,1.0,2.53,2.53,-0.37,,,,,,,,,,,,,,,,,,,1,2020,,
Maílson (GOL),Sport,4.71,1.0,2.5,2.5,0.71,,,,,,,,,2.0,,,,,,2.0,,,15.0,1,2020,,
Felipe Conceição (TEC),Bragantino,4.55,1.0,2.28,2.28,0.55,,,,,,,,,,,,,,,,,,,1,2020,,
